ID_Activo,Fecha,Clase,Categoría,Subcategoría,Institución,Nombre_Producto,Moneda,Valor_Original,Tipo_Cambio_a_CLP,Valor_CLP,Ticker,Identificador_Cuenta,Detalle_Adicional
ffm_soyfocus_arriesgado_2025,20/1/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre arriesgado,CLP,7797088,1,7797088,,,
ffm_soyfocus_moderado_2025,20/1/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre moderado,CLP,3069106,1,3069106,,,
acc_itau_enelchile,20/1/2026,Activo,Inversión Líquida,Acción,banco itau,enelchile,CLP,1323497,1,1323497,enelchile,,
acc_itau_habitat,20/1/2026,Activo,Inversión Líquida,Acción,banco itau,habitat,CLP,1013716,1,1013716,HABITAT,,
ffm_itau_moneymarket,20/1/2026,Activo,Inversión Líquida,Fondo,banco itau,money market,CLP,14032,1,14032,,,
prop_carmen_590,20/1/2026,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,UF,2100,39731,83435100,,,
prop_huanuco_2290,20/1/2026,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,UF,2500,39731,99327500,,,
afp_habitat_obligatorio,20/1/2026,Activo,Activo Fijo,Afp,habitat,ahorro obligatorio,CLP,48453928,1,48453928,,,
pas_bci_hipotecario,20/1/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,banco bci,hipotecario,CLP,61817326,1,61817326,,,
cta_bci_cte,20/1/2026,Activo,Circulante,Cuenta corriente,banco bci,,CLP,48396561,1,48396561,,,
pas_bci_tdc_black,20/1/2026,Pasivo,Pasivo Circulante,Tarjeta credito,banco bci,mastercard black,CLP,2180321,1,2180321,,,
pas_sii_impuestos,20/1/2026,Pasivo,Pasivo a Largo Plazo,Impuestos,sii,27 bis 177 utm,UTM,177,69751,12345927,,,
cta_consorcio_vista,20/1/2026,Activo,Inversión Líquida,Cuenta vista,consorcio,cuenta mas,CLP,59251750,1,59251750,,,
prestamo_s_castro,20/1/2026,Activo,Inversión Poco Líquida,Credito personal,sandor castro,,CLP,3000000,1,3000000,,,
